Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,FB,TWTR,NFLX,sp500
6/6/2014,92.224289,138.25,35.02,25.139999,329.670013,186.369995,208.169998,554.806763,62.5,33.330002,61.447144,1949.439941
6/9/2014,93.699997,137.960007,35.009998,24.530001,327.5,186.220001,205.309998,560.580933,62.880001,34.470001,60.441429,1951.27002
6/10/2014,94.25,137.25,34.939999,24.52,332.410004,184.289993,202.300003,559.015198,65.769997,35.369999,61.184284,1950.790039
6/11/2014,93.860001,134.100006,34.810001,24.9,335.200012,182.25,204.470001,557.309875,65.779999,35.540001,61.42857,1943.890015
6/12/2014,92.290001,132.190002,34.830002,24.440001,325.910004,181.220001,203.520004,549.840393,64.290001,36.790001,60.349998,1930.109985
6/13/2014,91.279999,132.289993,35.029999,24.9,326.269989,182.559998,206.419998,550.249268,64.5,36.900002,61.101429,1936.160034
6/16/2014,92.199997,132.539993,34.98,24.809999,327.619995,182.350006,224.610001,542.789795,64.190002,38.02,61.465714,1937.780029
6/17/2014,92.080002,132.449997,35.02,24.790001,325.619995,182.259995,231.669998,541.523254,64.400002,38.02,63.378571,1941.98999
6/18/2014,92.18,132.479996,35.200001,25.110001,334.380005,183.600006,227.119995,551.854858,65.599998,38.740002,64.097145,1956.97998
6/19/2014,91.860001,132.820007,35.360001,25.139999,327,182.820007,227.789993,553.380676,64.339996,38.900002,63.055714,1959.47998
6/20/2014,90.910004,132.100006,35.389999,25.4,324.200012,181.550003,229.589996,554.83667,64.5,39.240002,62.882858,1962.869995
6/23/2014,90.830002,130.850006,35.389999,25.639999,327.23999,182.139999,237.220001,563.403198,65.370003,39.52,62.78857,1962.609985
6/24/2014,90.279999,129.149994,35.290001,25.66,324.160004,180.880005,232.5,563.074097,65.720001,38.48,62.337143,1949.97998
6/25/2014,90.360001,127.059998,35.259998,25.91,327.440002,180.720001,236.889999,577.065674,67.440002,39.459999,63.458572,1959.530029
6/26/2014,90.900002,128.020004,35.259998,26.719999,325.690002,180.369995,235.600006,574.422913,67.129997,41.439999,62.80143,1957.219971
6/27/2014,91.980003,128.539993,35.41,26.41,324.570007,181.710007,239.059998,575.659546,67.599998,40.93,63.154285,1960.959961
6/30/2014,92.93,127.230003,35.360001,26.4,324.779999,181.270004,240.059998,573.704895,67.290001,40.970001,62.942856,1960.22998
7/1/2014,93.519997,128.149994,35.48,26.6,332.390015,186.350006,239.720001,581.074646,68.059998,42.049999,67.585716,1973.319946
7/2/2014,93.480003,127.620003,35.669998,26.92,332.850006,188.389999,229.429993,580.740601,66.449997,41.77,66.677139,1974.619995
7/3/2014,94.029999,128.509995,35.84,26.84,337.48999,188.529999,229.25,583.129028,66.290001,41.330002,67.478569,1985.439941
7/7/2014,95.970001,129.089996,36.02,26.610001,333.549988,188.039993,222.660004,580.655823,65.290001,40.23,65.802856,1977.650024
7/8/2014,95.349998,126.790001,35.560001,25.780001,323.809998,187.220001,219.070007,569.526367,62.759998,37.41,63.578571,1963.709961
7/9/2014,95.389999,126.790001,35.650002,26,329.970001,188.419998,223.059998,574.502686,64.970001,38.060001,63.285713,1972.829956
7/10/2014,95.040001,126.790001,35.700001,25.719999,327.920013,187.699997,219.460007,569.536316,64.870003,37.84,62.650002,1964.680054
7/11/2014,95.220001,128.089996,35.759998,25.549999,346.200012,188,218.130005,577.594238,66.339996,38.330002,62.851429,1967.569946
7/14/2014,96.449997,129.520004,35.860001,25.68,355.320007,189.860001,226.699997,583.268616,67.900002,38.310001,64.654289,1977.099976
7/15/2014,95.32,129.100006,36.240002,25.49,354.440002,188.490005,219.580002,583.178894,67.169998,37.880001,64.155716,1973.280029
7/16/2014,94.779999,127.419998,36.450001,25.559999,355.899994,192.360001,217.160004,581.064697,67.660004,37.43,63.491428,1981.569946
7/17/2014,93.089996,125.879997,36.029999,25.299999,352.450012,192.490005,215.399994,572.159119,66.410004,36.869999,62.765713,1958.119995
7/18/2014,94.43,127.639999,36.169998,25.52,358.660004,192.5,220.020004,593.450684,68.419998,37.049999,63.452858,1978.219971
7/21/2014,93.940002,128.300003,35.959999,25.450001,359.76001,190.850006,220.539993,587.856018,69.400002,38.049999,64.564285,1973.630005
7/22/2014,94.720001,129.740005,35.939999,26.17,360.839996,194.089996,219.580002,593.111633,69.269997,37.650002,61.584286,1983.530029
7/23/2014,97.190002,126.709999,35.880001,26.280001,358.140015,193.630005,222.490005,594.348206,71.290001,37.75,61.128571,1987.01001
7/24/2014,97.029999,124.400002,35.5,25.98,358.609985,195.240005,223.539993,591.725403,74.980003,38.709999,60.76857,1987.97998
7/25/2014,97.669998,123.199997,35.540001,26.389999,324.01001,194.399994,223.570007,587.407288,75.190002,38.16,60.265713,1978.339966
7/28/2014,99.019997,123.059998,35.650002,26.82,320.410004,195.779999,224.820007,588.982971,74.919998,37.93,60.665714,1978.910034
7/29/2014,98.379997,122.32,36.59,27,320,194.570007,225.009995,584.006592,73.709999,38.59,60.611427,1969.949951
7/30/2014,98.150002,122.290001,36.360001,27.35,322.51001,194,228.919998,585.811646,74.68,46.299999,62.05143,1970.069946
7/31/2014,95.599998,120.480003,35.59,26.84,312.98999,191.669998,223.300003,570.034973,72.650002,45.189999,60.388573,1930.670044
8/1/2014,96.129997,120.379997,35.330002,26.26,307.059998,189.149994,233.270004,564.520081,72.360001,44.130001,60.771427,1925.150024
8/4/2014,95.589996,119.93,35.459999,26.450001,313.649994,189.639999,238.520004,571.58075,73.510002,43.470001,60.385715,1938.98999
8/5/2014,95.120003,121.269997,35.110001,25.879999,312.320007,187.100006,238.490005,563.522827,72.690002,43.830002,60.407143,1920.209961
8/6/2014,94.959999,118.339996,34.619999,25.139999,313.890015,185.970001,248.929993,564.823303,72.470001,43.459999,61.471428,1920.23999
8/7/2014,94.480003,119.839996,34.209999,24.469999,311.450012,184.300003,252.389999,561.817505,73.169998,43,64.238571,1909.569946
8/8/2014,94.739998,120.629997,34.470001,24.73,316.799988,186.630005,248.130005,567.212708,73.059998,43.130001,63.692856,1931.589966
